Date,Open,High,Low,Close,Adj Close,Volume
2022-04-13,1.072225,1.073883,1.068913,1.072225,1.072225,0
2022-04-14,1.070836,1.072501,1.060131,1.070836,1.070836,0
2022-04-15,1.060547,1.062519,1.059131,1.060547,1.060547,0
2022-04-18,1.061188,1.061571,1.058403,1.061188,1.061188,0
2022-04-19,1.058649,1.059827,1.052975,1.058649,1.058649,0
2022-04-20,1.050354,1.057384,1.048713,1.050354,1.050354,0
2022-04-21,1.053741,1.057038,1.048394,1.053741,1.053741,0
2022-04-22,1.048548,1.049565,1.042807,1.048548,1.048548,0
2022-04-25,1.046463,1.047449,1.042036,1.046463,1.046463,0
2022-04-26,1.043525,1.045588,1.040409,1.043525,1.043525,0
2022-04-27,1.039253,1.040042,1.030885,1.039253,1.039253,0
2022-04-28,1.032343,1.032759,1.024790,1.032343,1.032343,0
2022-04-29,1.029124,1.033870,1.027337,1.029124,1.029124,0
2022-05-02,1.026515,1.029357,1.022077,1.026515,1.026515,0
2022-05-03,1.022662,1.028785,1.021148,1.022662,1.022662,0
2022-05-04,1.021701,1.022286,1.016384,1.021701,1.021701,0
2022-05-05,1.027549,1.029866,1.012371,1.027549,1.027549,0
2022-05-06,1.015022,1.017573,1.011542,1.015022,1.015022,0
2022-05-09,1.010785,1.011102,1.003573,1.010785,1.010785,0
2022-05-10,1.007354,1.009418,1.002577,1.007354,1.007354,0
2022-05-11,1.004319,1.012945,1.003734,1.004319,1.004319,0
2022-05-12,1.005571,1.006796,0.999580,1.005571,1.005571,0
2022-05-13,0.996959,1.000801,0.995530,0.996959,0.996959,0
2022-05-16,0.997775,0.999740,0.993710,0.997775,0.997775,0
2022-05-17,0.998283,1.008369,0.997695,0.998283,0.998283,0
2022-05-18,1.006239,1.012422,1.001673,1.006239,1.006239,0
2022-05-19,1.013028,1.029834,1.012730,1.013028,1.013028,0
2022-05-20,1.028616,1.031502,1.024874,1.028616,1.028616,0
2022-05-23,1.025652,1.037129,1.025767,1.025652,1.025652,0
2022-05-24,1.035250,1.044419,1.034190,1.035250,1.035250,0
2022-05-25,1.041450,1.041493,1.037151,1.041450,1.041450,0
2022-05-26,1.040009,1.043547,1.038184,1.040009,1.040009,0
2022-05-27,1.043231,1.047779,1.041493,1.043231,1.043231,0
2022-05-30,1.044005,1.046726,1.041103,1.044005,1.044005,0
2022-05-31,1.043591,1.045118,1.039706,1.043591,1.043591,0
2022-06-01,1.042188,1.042786,1.035583,1.042188,1.042188,0
2022-06-02,1.038314,1.044168,1.037829,1.038314,1.038314,0
2022-06-03,1.044452,1.046463,1.037334,1.044452,1.044452,0
2022-06-06,1.039220,1.041341,1.031672,1.039220,1.039220,0
2022-06-07,1.029548,1.030344,1.022683,1.029548,1.029548,0
2022-06-08,1.027232,1.027601,1.021607,1.027232,1.027232,0
2022-06-09,1.021617,1.028278,1.020335,1.021617,1.021617,0
2022-06-10,1.019992,1.023971,1.010346,1.019992,1.019992,0
